loss	phase	sf_best	fen
5.60	middlegame	a7g1	8/Q7/5bk1/5p2/8/5Bp1/3q4/5K2 w - - 10 80
5.54	middlegame	d8f6	r2qkb1r/2p5/ppb1p2p/3nN1p1/P2P4/1RPB4/2P2PPP/2BQ2K1 b kq - 1 16
5.37	endgame	h2h3	6k1/1p3p1p/5K2/3r4/1B4b1/3p4/7P/8 w - - 0 37
5.32	endgame	b6c7	6k1/1p5p/1K6/8/6bP/5p2/4r3/8 w - - 0 43
5.01	endgame	d2d3	8/1p5p/2p3pk/8/6qP/p7/3R4/5K2 w - - 0 55
4.96	endgame	c7d6	8/1Pk5/8/2N3P1/3K4/7p/7P/8 b - - 2 55
4.88	endgame	e2g1	6k1/p4p2/1p6/5qp1/7p/P7/4N3/4K3 w - - 0 53
4.79	middlegame	b1a1	2k4r/pp3pp1/2p1p2p/1q1r3P/n7/P4NN1/RPQ2PP1/1K5R w - - 6 19
4.56	middlegame	g5d2	2rr3k/6R1/R2pQ1pp/2pP1pq1/4p3/1P5P/2PN1PP1/6K1 b - - 0 30
4.37	middlegame	h5e2	4k3/5p2/3b2p1/6QB/8/8/2q5/5K2 w - - 2 58
4.32	middlegame	b3c3	4R2R/2p3pn/4p1rk/2B5/4BP2/1r4P1/7P/6K1 b - - 6 35
4.10	middlegame	e1d1	8/1Rp2ppk/2P1p2p/8/5nPP/2b2P2/r6N/4K3 w - - 5 48
4.10	middlegame	c2c1	r4rk1/pp3ppp/2p5/8/4p3/P3P3/1PQB1q1P/R4B1K w - - 3 22
4.07	opening	f6e4	r1bq1rk1/pp1n1ppp/4pn2/8/2BN4/2B1P1Q1/PP3PPP/R4RK1 b - - 0 7
4.03	middlegame	e6e5	1rb2rk1/3n1pp1/p3p2p/7Q/q3PPN1/2pB4/P1P3PP/3R1R1K b - - 3 26
3.63	endgame	c5d6	6k1/1p5p/8/2K5/5pbP/8/4r3/8 w - - 0 42
3.53	middlegame	f8e8	rqb2k2/1p2n3/pQp5/2NpPp1r/3P4/3PN3/PP4R1/5RK1 b - - 7 33
3.52	middlegame	f1f8	2k1rbnr/1p4pp/2p1b1n1/6P1/4Q3/2N1B3/PPP1N1Bq/3RKR2 w - - 0 15
3.45	middlegame	b8a7	rqb1k3/1p2n3/pQp5/2NpPp1r/3P4/3PN3/PP3R2/5RK1 b - - 5 32
3.32	middlegame	d3c2	4r1k1/pp3ppp/4q3/8/6b1/P1NQr1P1/1P1RB2P/4K2R w - - 9 28
3.30	middlegame	f3g3	1k1r1b1r/pppqp3/1n3pb1/1N4p1/P2P2P1/1B2BQ1p/1PP2P1P/R3R1K1 w - - 1 15
3.23	middlegame	f8c8	5r2/1p3p1p/p1BQbk2/8/8/3R4/1Pr3PP/4K3 b - - 0 24
3.23	endgame	d8d4	3r2k1/7R/1P3PKp/8/8/2P5/8/8 b - - 0 76
3.13	middlegame	c3e2	3r2k1/p4ppp/1pq5/8/5P2/P1Np4/3R1P1P/1Q4K1 w - - 1 35
3.01	middlegame	f2g1	3rr1k1/1b3ppp/8/2p2q2/8/2P1nNP1/PP2BK1P/R1Q1R3 w - - 1 19
2.94	opening	c8d7	r1bqkb1r/pp2pppp/2n2n2/3p4/Q4B2/2N2N2/PPP1PPPP/R3KB1R b KQkq - 2 6
2.93	middlegame	f6e6	2rr3k/R5b1/R2pQqpp/2pP1p2/4p3/1P5P/2PN1PP1/6K1 b - - 3 29
2.92	middlegame	c3d2	6rk/3R2p1/4r2p/1p3p2/5P2/P1Q4P/1P4P1/5KBq w - - 0 35
2.88	middlegame	c3e4	3r2k1/p4ppp/1p2q3/8/8/P1Np1P2/3R1P1P/1Q4K1 w - - 0 34
2.84	endgame	f6d5	8/5r2/5N2/7p/4K2k/8/5P2/8 w - - 4 88
2.83	opening	e4f5	r1b1k2r/pppp2pp/4n3/b4pq1/2B1P3/B1P5/P5PP/RN1QR1K1 w kq - 1 8
2.79	endgame	e2f4	6k1/p4p2/1p6/5qp1/8/P6p/3KN3/8 w - - 0 54
2.78	middlegame	c5c4	rn1qk2r/4bppp/p3p3/2pb4/4NB2/R4N2/1PP2PPP/3QR1K1 b kq - 0 14
2.73	middlegame	h4h3	1r2q1k1/3p1r1p/2bQ4/2R1pp2/p3P2p/4BP2/6P1/3R2K1 b - - 1 46
2.72	middlegame	d4d5	3r1b1r/kppqp3/1n3pb1/6p1/P2P2P1/1B2BQ1p/1PP2P1P/R3R1K1 w - - 0 16
2.70	endgame	f8c5	2r2bk1/5p2/PB5p/1B2p3/4P3/1P6/5PP1/6K1 b - - 0 31
2.62	middlegame	f5c2	r4rk1/ppq1pp1p/1np2npQ/5bN1/3P2P1/2N5/PPP1BP1P/R4RK1 b - - 0 12
2.55	middlegame	d7d3	R4b2/3r3k/7p/8/1p3PRP/1P3BK1/8/8 b - - 10 45
2.54	middlegame	h1f1	4r1k1/pp3ppp/7q/4r3/6b1/P1NQ2P1/1P1RB2P/4K2R w - - 5 26
2.50	middlegame	f2f1	8/1Rb3pp/5p2/4Pk2/3P1P1P/8/1p3RP1/2r3K1 w - - 7 55
